;COD_CLI;DATA_COMPRA;DT_ENTREGA;PRODUTO;VALOR_FATURADO;LOCAL
2190;;1998-04-05;;OKTT1;2983.24;16.0
2191;;1998-04-05;;WDFE3;329.11;23.0
2192;;1998-04-05;;XSZZ3;4412.09;11.0
2193;;1998-04-07;;WDFE2;2319.45;37.0
2194;;1998-04-07;;OKTT1;2649.84;8.0
2195;;1998-04-09;;OKTT3;1580.39;21.0
2196;;1998-04-09;;QPYG1;3170.61;12.0
2197;;1998-04-10;;XDFF2;983.03;29.0
2198;;1998-04-10;;OKTT1;2750.56;44.0
2199;;1998-04-11;;QPYG4;2179.65;49.0
2200;;1998-04-13;;BVAA0;4255.74;34.0
2201;;1998-04-15;;QPYG0;3495.03;38.0
2202;;1998-04-15;;XSZZ2;3049.92;33.0
2203;;1998-04-16;;WWAP0;4137.89;21.0
2204;;1998-04-18;;QAFD2;1641.78;5.0
2205;;1998-04-18;;XSZZ1;3116.21;43.0
2206;;1998-04-21;;QAFD3;4781.51;21.0
2207;;1998-04-22;;NVHH1;2388.87;27.0
2208;;1998-04-23;;QAFD3;2051.0;47.0
2209;;1998-04-24;;JNDD2;2859.05;2.0
2210;;1998-04-25;;LMFF1;1417.76;44.0
2211;;1998-04-26;;QAFD0;922.65;47.0
2212;;1998-04-26;;HBCC0;4168.72;39.0
2213;;1998-04-28;;WDFE2;2907.64;5.0
2214;;1998-04-29;;OKTT4;1904.58;43.0
2215;;1998-05-02;;XDFF4;2560.16;2.0
2216;;1998-05-02;;HBCC1;3953.39;12.0
2217;;1998-05-03;;XDFF4;2517.51;46.0
2218;;1998-05-03;;HBCC1;3303.73;23.0
2219;;1998-05-10;;BVAA2;4224.1;8.0
2220;;1998-05-10;;XDFF4;2053.16;5.0
2221;;1998-05-11;;QAFD2;3010.36;5.0
2222;;1998-05-11;;XSZZ0;4455.48;12.0
2223;;1998-05-11;;WDFE2;4009.15;34.0
2224;;1998-05-13;;QPYG4;1492.76;44.0
2225;;1998-05-13;;OKTT3;1720.33;20.0
2226;;1998-05-13;;QPYG2;4745.44;3.0
2227;;1998-05-13;;OKTT0;3983.05;39.0
2228;;1998-05-15;;OKTT3;2804.51;3.0
2229;;1998-05-16;;HBCC2;1735.74;14.0
2230;;1998-05-16;;JNDD1;3352.83;14.0
2231;;1998-05-16;;WWAP4;1702.32;43.0
2232;;1998-05-17;;WWAP0;1358.05;12.0
2233;;1998-05-17;;OKTT2;3889.35;13.0
2234;;1998-05-18;;JNDD0;4830.29;49.0
2235;;1998-05-19;;QPYG4;3495.68;19.0
2236;;1998-05-19;;LMFF0;1682.5;36.0
2237;;1998-05-20;;WDFE0;778.79;17.0
2238;;1998-05-21;;LMFF1;4865.69;47.0
2239;;1998-05-21;;JNDD2;1253.54;24.0
2240;;1998-05-22;;NVHH0;2693.98;33.0
2241;;1998-05-22;;HBCC1;1125.57;0.0
2242;;1998-05-23;;XSZZ4;678.11;42.0
2243;;1998-05-23;;QSOP3;3707.04;35.0
2244;;1998-05-24;;OKTT4;1212.73;39.0
2245;;1998-05-27;;LMFF4;4003.87;44.0
2246;;1998-05-27;;JNDD3;1264.02;12.0
2247;;1998-05-28;;QPYG2;3030.22;47.0
2248;;1998-05-29;;QSOP3;1221.95;28.0
2249;;1998-05-30;;HBCC0;3294.67;13.0
2250;;1998-05-30;;JNDD0;3818.69;3.0
2251;;1998-05-30;;HBCC1;1872.31;4.0
2252;;1998-05-31;;WDFE4;4291.14;9.0
2253;;1998-06-01;;QSOP1;1734.73;26.0
2254;;1998-06-02;;QSOP3;2309.45;47.0
2255;;1998-06-03;;WDFE3;2165.08;50.0
2256;;1998-06-03;;OKTT4;1885.86;6.0
2257;;1998-06-04;;HBCC4;2095.26;36.0
2258;;1998-06-04;;QPYG1;95.44;16.0
2259;;1998-06-04;;QPYG1;1251.56;14.0
2260;;1998-06-05;;XSZZ0;2079.46;24.0
2261;;1998-06-06;;WDFE1;3177.05;9.0
2262;;1998-06-07;;OKTT3;226.77;15.0
2263;;1998-06-07;;OKTT3;602.34;20.0
2264;;1998-06-07;;QPYG4;1802.25;38.0
2265;;1998-06-08;;QSOP4;3821.93;31.0
2266;;1998-06-08;;HBCC1;1744.69;45.0
2267;;1998-06-09;;WDFE2;4538.29;43.0
2268;;1998-06-11;;QSOP0;2027.71;33.0
2269;;1998-06-12;;HBCC3;1839.62;8.0
2270;;1998-06-12;;QSOP2;4529.52;25.0
2271;;1998-06-12;;BVAA4;1447.84;1.0
2272;;1998-06-14;;BVAA0;4150.18;30.0
2273;;1998-06-15;;NVHH3;2089.47;18.0
2274;;1998-06-15;;JNDD1;2655.56;37.0
2275;;1998-06-16;;WWAP3;1440.51;5.0
2276;;1998-06-16;;BVAA4;2844.67;28.0
2277;;1998-06-17;;QPYG4;2977.27;1.0
2278;;1998-06-18;;JNDD0;4753.78;17.0
2279;;1998-06-20;;BVAA4;81.61;32.0
2280;;1998-06-22;;BVAA0;3760.85;47.0
2281;;1998-06-22;;QPYG4;3581.71;15.0
2282;;1998-06-24;;WDFE4;612.04;44.0
2283;;1998-06-24;;QPYG0;4759.23;24.0
2284;;1998-06-25;;WDFE2;3945.52;29.0
2285;;1998-06-25;;NVHH0;3694.5;45.0
2286;;1998-06-26;;OKTT4;3909.2;25.0
2287;;1998-06-28;;QPYG2;2813.75;17.0
2288;;1998-06-29;;XSZZ4;214.47;42.0
2289;;1998-06-29;;OKTT4;216.19;28.0
2290;;1998-07-01;;WWAP1;985.88;18.0
2291;;1998-07-01;;QSOP0;1669.32;11.0
2292;;1998-07-01;;QPYG1;4975.65;43.0
2293;;1998-07-02;;JNDD4;2785.44;42.0
2294;;1998-07-02;;HBCC0;4422.0;20.0
