;COD_CLI;DATA_COMPRA;DT_ENTREGA;PRODUTO;VALOR_FATURADO;LOCAL
2080;694.0;1998-01-01;;JNDD0;2234.44;29.0
2081;5009.0;1998-01-02;;BVAA0;1409.28;36.0
2082;6494.0;1998-01-02;;HBCC2;2200.18;13.0
2083;355.0;1998-01-04;;WDFE2;2817.97;48.0
2084;10108.0;1998-01-04;;WWAP3;3726.57;41.0
2085;736.0;1998-01-08;;WDFE1;971.43;21.0
2086;139.0;1998-01-09;;JNDD3;3887.39;40.0
2087;4872.0;1998-01-09;;XSZZ1;3959.34;6.0
2088;5912.0;1998-01-09;;QPYG1;4596.88;41.0
2089;11627.0;1998-01-10;;QPYG0;485.41;8.0
2090;10228.0;1998-01-10;;HBCC1;3330.25;2.0
2091;781.0;1998-01-11;;XSZZ1;2751.2;50.0
2092;4772.0;1998-01-11;;HBCC2;3452.44;24.0
2093;5169.0;1998-01-11;;XDFF4;3897.55;33.0
2094;4496.0;1998-01-12;;XDFF3;1832.83;16.0
2095;7342.0;1998-01-13;;OKTT0;355.39;15.0
2096;9824.0;1998-01-13;;NVHH2;4456.12;0.0
2097;8633.0;1998-01-14;;HBCC4;2332.56;1.0
2098;2774.0;1998-01-15;;JNDD4;4885.93;36.0
2099;4911.0;1998-01-15;;XSZZ0;834.04;14.0
2100;4588.0;1998-01-15;;XDFF4;4896.83;44.0
2101;10030.0;1998-01-15;;QSOP4;2677.57;9.0
2102;5792.0;1998-01-16;;OKTT3;3836.15;49.0
2103;5901.0;1998-01-16;;OKTT2;3615.8;2.0
2104;6083.0;1998-01-16;;HBCC1;570.92;14.0
2105;8624.0;1998-01-18;;WDFE1;1040.91;35.0
2106;5885.0;1998-01-18;;NVHH2;1508.81;14.0
2107;5788.0;1998-01-19;;XDFF1;1905.32;29.0
2108;11156.0;1998-01-21;;HBCC0;3386.31;5.0
2109;5445.0;1998-01-22;;JNDD1;2422.01;6.0
2110;6224.0;1998-01-22;;WDFE4;1647.74;25.0
2111;6057.0;1998-01-22;;QPYG2;1720.19;20.0
2112;5145.0;1998-01-26;;LMFF0;3900.14;8.0
2113;1008.0;1998-01-27;;BVAA0;1100.57;31.0
2114;5009.0;1998-01-27;;WDFE4;56.17;46.0
2115;10603.0;1998-01-27;;WWAP4;4251.44;15.0
2116;6393.0;1998-01-28;;QSOP3;3838.35;30.0
2117;6195.0;1998-01-28;;BVAA0;2487.76;42.0
2118;5152.0;1998-01-30;;HBCC2;115.86;46.0
2119;5716.0;1998-01-31;;QPYG3;2209.01;47.0
2120;5929.0;1998-01-31;;HBCC4;2309.25;25.0
2121;6558.0;1998-02-01;;WDFE4;1156.38;21.0
2122;8686.0;1998-02-01;;BVAA2;3225.97;2.0
2123;4458.0;1998-02-01;;OKTT1;2393.19;6.0
2124;4945.0;1998-02-02;;BVAA3;2014.51;15.0
2125;5399.0;1998-02-03;;XDFF0;569.28;3.0
2126;11239.0;1998-02-03;;BVAA1;2043.87;20.0
2127;4458.0;1998-02-06;;NVHH4;1093.1;41.0
2128;10466.0;1998-02-06;;XDFF3;2668.93;47.0
2129;11882.0;1998-02-09;;JNDD1;4466.79;16.0
2130;5486.0;1998-02-11;;WWAP2;2255.48;31.0
2131;8862.0;1998-02-11;;XDFF1;242.66;9.0
2132;8739.0;1998-02-12;;LMFF2;4406.03;17.0
2133;8796.0;1998-02-12;;HBCC4;3283.68;16.0
2134;10520.0;1998-02-12;;XSZZ0;1203.53;22.0
2135;6205.0;1998-02-13;;JNDD3;1411.68;43.0
2136;6292.0;1998-02-13;;OKTT1;2667.93;6.0
2137;5995.0;1998-02-14;;JNDD3;3221.08;4.0
2138;6308.0;1998-02-15;;WWAP2;2460.41;23.0
2139;6325.0;1998-02-15;;WDFE1;3805.62;42.0
2140;10230.0;1998-02-16;;NVHH4;2142.23;14.0
2141;2937.0;1998-02-17;;JNDD2;2753.49;6.0
2142;10132.0;1998-02-17;;JNDD2;1893.36;32.0
2143;5943.0;1998-02-19;;WDFE1;1945.68;32.0
2144;5009.0;1998-02-19;;OKTT0;2093.46;34.0
2145;4312.0;1998-02-22;;QSOP2;3124.65;32.0
2146;9192.0;1998-02-22;;QSOP0;2129.02;9.0
2147;11821.0;1998-02-25;;XDFF2;743.07;29.0
2148;6314.0;1998-02-26;;QSOP2;4941.36;29.0
2149;5702.0;1998-02-27;;QPYG3;4493.28;36.0
2150;5899.0;1998-02-28;;QSOP2;4572.47;0.0
2151;5009.0;1998-03-01;;BVAA4;3603.55;39.0
2152;11617.0;1998-03-01;;OKTT2;3511.91;9.0
2153;11781.0;1998-03-02;;QPYG3;2190.86;5.0
2154;4882.0;1998-03-03;;QPYG0;3620.77;46.0
2155;9388.0;1998-03-03;;HBCC2;134.86;44.0
2156;5009.0;1998-03-08;;XDFF2;2559.27;0.0
2157;5792.0;1998-03-08;;QPYG2;3314.88;11.0
2158;6236.0;1998-03-09;;QAFD2;3227.84;14.0
2159;4969.0;1998-03-09;;LMFF0;1634.17;9.0
2160;11201.0;1998-03-09;;QAFD4;3782.41;11.0
2161;5009.0;1998-03-11;;QSOP4;1860.77;5.0
2162;6445.0;1998-03-11;;QSOP0;1272.98;31.0
2163;4525.0;1998-03-12;;XSZZ3;1122.47;10.0
2164;6345.0;1998-03-12;;OKTT2;1699.45;30.0
2165;8649.0;1998-03-12;;LMFF4;3331.69;39.0
2166;11694.0;1998-03-12;;LMFF3;3607.39;28.0
2167;8554.0;1998-03-12;;XDFF1;4683.01;15.0
2168;9418.0;1998-03-12;;HBCC2;2496.78;36.0
