;COD_CLI;DATA_COMPRA;DT_ENTREGA;PRODUTO;VALOR_FATURADO;LOCAL
1;4885.0;1993-09-16;1993-09-16;LMFF3;1784.83;45
5;5486.0;1993-09-19;1993-09-19;JNDD4;2293.41;40
6;4627.0;1993-09-19;1993-09-19;XDFF3;661.32;5
7;11744.0;1993-09-19;1993-09-19;QPYG1;2621.45;42
8;1442.0;1993-09-20;1993-09-20;LMFF0;3394.89;42
12;231.0;1993-09-28;1993-09-28;QPYG1;3516.44;38
17;10954.0;1993-10-01;1993-10-01;LMFF2;3820.0;46
18;1358.0;1993-10-02;1993-10-02;JNDD4;4333.66;50
20;6286.0;1993-10-05;1993-10-05;XDFF3;3130.71;43
21;9646.0;1993-10-05;1993-10-05;JNDD1;3047.79;43
25;5502.0;1993-10-09;1993-10-09;HBCC3;3022.98;4
28;5405.0;1993-10-14;1993-10-14;HBCC4;600.73;4
31;5786.0;1993-10-17;1993-10-17;XSZZ4;3710.97;49
33;1546.0;1993-10-19;1993-10-19;OKTT1;4092.12;40
35;5187.0;1993-10-19;1993-10-19;QSOP0;1439.72;5
37;11765.0;1993-10-19;1993-10-19;WWAP3;4998.49;37
49;6237.0;1993-11-01;1993-11-01;QSOP2;3141.81;42
52;5870.0;1993-11-03;1993-11-03;XDFF1;1186.35;39
56;5009.0;1993-11-06;1993-11-06;LMFF1;4580.25;43
58;49.0;1993-11-07;1993-11-07;WDFE4;4626.38;6
59;6123.0;1993-11-08;1993-11-08;QAFD2;1014.79;6
60;9335.0;1993-11-08;1993-11-08;NVHH2;3649.93;49
63;6341.0;1993-11-09;1993-11-09;JNDD0;2968.27;48
69;11417.0;1993-11-20;1993-11-20;WDFE0;2593.21;40
73;2830.0;1993-11-26;1993-11-26;XDFF1;4573.54;48
74;11286.0;1993-11-26;1993-11-26;XDFF2;2362.03;39
82;6024.0;1993-12-01;1993-12-01;QSOP4;894.63;40
83;6381.0;1993-12-01;1993-12-01;HBCC4;1877.71;4
84;5537.0;1993-12-01;1993-12-01;JNDD4;4100.21;48
85;11846.0;1993-12-01;1993-12-01;XDFF2;3737.72;39
87;963.0;1993-12-04;1993-12-04;QSOP1;5.26;49
88;6042.0;1993-12-05;1993-12-05;QPYG2;4678.76;40
