;COD_CLI;DATA_COMPRA;DT_ENTREGA;PRODUTO;VALOR_FATURADO;LOCAL
1;4885.0;1993-09-16;1993-09-16;LMFF3;1784.83;45.0
6;4627.0;1993-09-19;1993-09-19;XDFF3;661.32;5.0
8;1442.0;1993-09-20;1993-09-20;LMFF0;3394.89;42.0
10;6160.0;1993-09-23;1993-09-23;LMFF4;2655.0;35.0
15;11382.0;1993-09-30;1993-09-30;XDFF3;137.15;16.0
17;10954.0;1993-10-01;1993-10-01;LMFF2;3820.0;46.0
20;6286.0;1993-10-05;1993-10-05;XDFF3;3130.71;43.0
29;6221.0;1993-10-14;1993-10-14;NVHH4;3172.52;19.0
43;7119.0;1993-10-26;1993-10-26;XDFF2;4442.97;32.0
47;4863.0;1993-10-28;1993-10-28;XDFF4;4768.13;9.0
52;5870.0;1993-11-03;1993-11-03;XDFF1;1186.35;39.0
56;5009.0;1993-11-06;1993-11-06;LMFF1;4580.25;43.0
57;4867.0;1993-11-06;1993-11-06;WDFE3;181.28;27.0
59;6123.0;1993-11-08;1993-11-08;QAFD2;1014.79;6.0
61;10690.0;1993-11-08;1993-11-08;LMFF1;1829.26;27.0
67;5612.0;1993-11-17;1993-11-17;XDFF1;3744.41;28.0
70;9150.0;1993-11-22;1993-11-22;LMFF1;4420.88;27.0
73;2830.0;1993-11-26;1993-11-26;XDFF1;4573.54;48.0
74;11286.0;1993-11-26;1993-11-26;XDFF2;2362.03;39.0
77;5951.0;1993-11-29;1993-11-29;QAFD0;1217.64;2.0
79;6463.0;1993-11-29;1993-11-29;NVHH4;2215.23;28.0
80;7200.0;1993-11-30;1993-11-30;WDFE1;329.03;27.0
85;11846.0;1993-12-01;1993-12-01;XDFF2;3737.72;39.0
86;10337.0;1993-12-03;1993-12-03;QAFD0;4702.89;8.0
91;6230.0;1993-12-07;1993-12-07;XDFF0;2600.41;42.0
98;4138.0;1993-12-12;1993-12-12;XDFF2;1649.65;38.0
102;10181.0;1993-12-14;1993-12-14;NVHH4;3504.94;23.0
105;5492.0;1993-12-15;1993-12-15;WDFE1;2175.31;14.0
106;11816.0;1993-12-16;1993-12-16;XDFF1;3686.26;34.0
114;4748.0;1993-12-21;1993-12-21;QAFD4;4449.32;24.0
118;5809.0;1993-12-25;1993-12-25;LMFF3;3384.62;39.0
122;10320.0;1993-12-26;1993-12-26;OKTT0;2688.17;1.0
123;9414.0;1993-12-27;1993-12-27;NVHH3;2688.9;46.0
125;11634.0;1993-12-28;1993-12-28;WDFE1;1541.91;48.0
135;5622.0;1994-01-06;1994-01-06;LMFF3;3195.74;21.0
140;9273.0;1994-01-07;1994-01-07;XDFF4;2828.29;4.0
165;1477.0;1994-01-30;1994-01-30;LMFF2;4397.86;36.0
166;4535.0;1994-01-30;1994-01-30;NVHH1;3007.46;36.0
167;8270.0;1994-01-30;1994-01-30;XDFF2;893.19;39.0
168;6078.0;1994-02-02;1994-02-02;WDFE1;1890.59;45.0
172;10879.0;1994-02-04;1994-02-04;LMFF1;3290.55;6.0
175;4190.0;1994-02-06;1994-02-06;XDFF0;954.23;13.0
176;4772.0;1994-02-06;1994-02-06;WDFE1;349.15;32.0
178;8763.0;1994-02-06;1994-02-06;OKTT0;4971.52;36.0
179;11818.0;1994-02-09;1994-02-09;LMFF2;3500.82;31.0
180;9738.0;1994-02-09;1994-02-09;WWAP4;2004.65;29.0
181;4057.0;1994-02-10;1994-02-10;NVHH3;2919.37;25.0
184;10017.0;1994-02-12;1994-02-12;LMFF2;439.98;42.0
189;11157.0;1994-02-15;1994-02-15;LMFF4;3300.95;34.0
192;9430.0;1994-02-16;1994-02-16;XDFF1;1718.12;18.0
195;9550.0;1994-02-17;1994-02-17;XDFF4;2802.86;44.0
197;11933.0;1994-02-19;1994-02-19;LMFF0;3841.05;35.0
204;11954.0;1994-02-26;1994-02-26;XDFF2;4634.34;29.0
210;4902.0;1994-03-03;1994-03-03;QAFD4;776.93;41.0
219;5741.0;1994-03-13;1994-03-13;XDFF4;4814.07;40.0
221;5758.0;1994-03-14;1994-03-14;WDFE3;2333.3;28.0
222;5161.0;1994-03-15;1994-03-15;WDFE3;1342.81;11.0
228;11809.0;1994-03-27;1994-03-27;LMFF1;2404.83;47.0
229;5415.0;1994-03-30;1994-03-30;WDFE3;919.3;5.0
231;4469.0;1994-03-30;1994-03-30;XDFF4;4305.21;23.0
240;5708.0;1994-04-06;1994-04-06;LMFF1;1632.95;13.0
247;6269.0;1994-04-12;1994-04-12;WDFE1;206.44;14.0
249;1106.0;1994-04-13;1994-04-13;WDFE3;390.24;1.0
250;11742.0;1994-04-13;1994-04-13;LMFF4;4575.03;12.0
251;6276.0;1994-04-14;1994-04-14;LMFF2;2564.28;1.0
265;6251.0;1994-04-26;1994-04-26;LMFF4;4579.33;19.0
267;4657.0;1994-04-28;1994-04-28;NVHH4;2929.83;19.0
270;11865.0;1994-04-29;1994-04-29;WWAP4;634.91;26.0
271;719.0;1994-05-01;1994-05-01;WDFE1;4597.04;7.0
273;5839.0;1994-05-03;1994-05-03;QAFD4;2753.31;9.0
277;4772.0;1994-05-04;1994-05-04;NVHH1;282.89;5.0
279;8279.0;1994-05-05;1994-05-05;QAFD0;324.16;28.0
295;6302.0;1994-05-23;1994-05-23;QAFD1;3227.0;34.0
297;5539.0;1994-05-24;1994-05-24;LMFF0;4220.01;29.0
301;4772.0;1994-05-28;1994-05-28;WWAP4;817.77;1.0
312;4588.0;1994-06-06;1994-06-06;NVHH4;4063.03;39.0
314;5744.0;1994-06-07;1994-06-07;LMFF0;1806.07;44.0
315;6323.0;1994-06-09;1994-06-09;LMFF3;1584.78;29.0
325;11886.0;1994-06-13;1994-06-13;QAFD2;2176.3;35.0
328;5661.0;1994-06-14;1994-06-14;QAFD3;4591.61;36.0
329;11234.0;1994-06-14;1994-06-14;WWAP4;1544.94;22.0
330;5504.0;1994-06-15;1994-06-15;LMFF0;500.19;26.0
331;5723.0;1994-06-16;1994-06-16;WWAP4;3400.92;15.0
334;11761.0;1994-06-17;1994-06-17;XDFF4;2586.01;1.0
337;11276.0;1994-06-19;1994-06-19;XDFF3;4540.67;5.0
338;350.0;1994-06-22;1994-06-22;WDFE3;2013.34;50.0
339;9642.0;1994-06-22;1994-06-22;LMFF1;2433.63;24.0
343;5818.0;1994-06-24;1994-06-24;QAFD3;332.0;19.0
346;9728.0;1994-06-27;1994-06-27;LMFF2;1561.92;48.0
347;6177.0;1994-06-28;1994-06-28;XDFF4;1623.32;49.0
351;11122.0;1994-07-02;1994-07-02;LMFF0;1092.87;25.0
356;4734.0;1994-07-04;1994-07-04;WDFE3;197.94;35.0
363;5009.0;1994-07-08;1994-07-08;OKTT0;559.47;18.0
365;6534.0;1994-07-09;1994-07-09;XDFF3;4871.72;10.0
369;5009.0;1994-07-10;1994-07-10;XDFF1;4931.4;20.0
374;1503.0;1994-07-12;1994-07-12;QAFD3;4307.78;20.0
376;84.0;1994-07-13;1994-07-13;LMFF3;2765.6;19.0
383;4514.0;1994-07-18;1994-07-18;OKTT0;1570.05;16.0
386;6006.0;1994-07-22;1994-07-22;WDFE1;261.75;19.0
387;6474.0;1994-07-22;1994-07-22;QAFD2;4161.13;38.0
388;11128.0;1994-07-22;1994-07-22;QAFD2;2948.63;33.0
392;4487.0;1994-07-24;1994-07-24;XDFF4;1730.81;35.0
393;8552.0;1994-07-25;1994-07-25;WDFE1;1870.49;24.0
394;1069.0;1994-07-26;1994-07-26;LMFF4;689.28;35.0
415;11028.0;1994-08-18;1994-08-18;LMFF1;2764.03;42.0
424;8552.0;1994-08-25;1994-08-25;WDFE1;4892.96;2.0
434;5816.0;1994-08-30;1994-08-30;NVHH1;4524.95;39.0
435;5804.0;1994-08-30;1994-08-30;OKTT0;1255.05;4.0
443;6376.0;1994-09-06;1994-09-06;XDFF4;437.49;49.0
447;6134.0;1994-09-11;1994-09-11;QAFD4;3530.73;40.0
457;11705.0;1994-09-17;1994-09-17;XDFF3;4901.84;2.0
461;9860.0;1994-09-22;1994-09-22;WDFE3;4015.47;44.0
467;9577.0;1994-09-24;1994-09-24;NVHH1;75.9;33.0
469;555.0;1994-09-27;1994-09-27;WWAP4;13.16;45.0
476;6398.0;1994-10-04;1994-10-04;WDFE3;1932.78;45.0
481;5959.0;1994-10-05;1994-10-05;WDFE1;4706.33;34.0
483;8405.0;1994-10-07;1994-10-07;QAFD0;2838.31;15.0
485;8461.0;1994-10-10;1994-10-10;WDFE1;1105.32;44.0
496;2970.0;1994-10-18;1994-10-18;XDFF4;2666.77;19.0
499;4196.0;1994-10-22;1994-10-22;WDFE1;2034.72;32.0
507;4573.0;1994-11-03;1994-11-03;WWAP4;3728.56;2.0
516;9252.0;1994-11-07;1994-11-07;NVHH4;652.05;18.0
520;5171.0;1994-11-11;1994-11-11;QAFD3;62.39;3.0
521;4745.0;1994-11-11;1994-11-11;XDFF3;4493.65;38.0
526;8448.0;1994-11-15;1994-11-15;QAFD0;3771.14;20.0
527;295.0;1994-11-16;1994-11-16;WDFE3;2715.06;34.0
535;5937.0;1994-11-20;1994-11-20;WWAP4;1790.52;45.0
536;539.0;1994-11-21;1994-11-21;LMFF0;4161.06;38.0
555;8283.0;1994-12-07;1994-12-07;XDFF3;2545.0;1.0
565;11102.0;1994-12-15;1994-12-15;WDFE1;254.65;50.0
568;1239.0;1994-12-18;1994-12-18;WDFE1;3854.27;2.0
577;5682.0;1994-12-25;1994-12-25;WWAP4;162.0;28.0
579;10659.0;1994-12-27;1994-12-27;WWAP4;194.2;46.0
587;8624.0;1994-12-31;1994-12-31;WDFE3;1913.35;20.0
590;5852.0;1995-01-03;1995-01-03;WDFE3;314.49;13.0
