;COD_CLI;DATA_COMPRA;DT_ENTREGA;PRODUTO;VALOR_FATURADO;LOCAL
0;1352.0;1993-09-16;1993-09-16;XSZZ2;4470.29;17.0
1;4885.0;1993-09-16;1993-09-16;LMFF3;1784.83;45.0
2;8650.0;1993-09-16;1993-09-16;JNDD2;4779.9;21.0
3;11720.0;1993-09-16;1993-09-16;JNDD1;4011.93;23.0
4;10876.0;1993-09-18;1993-09-18;JNDD3;2251.07;20.0
5;5486.0;1993-09-19;1993-09-19;JNDD4;2293.41;40.0
6;4627.0;1993-09-19;1993-09-19;XDFF3;661.32;5.0
7;11744.0;1993-09-19;1993-09-19;QPYG1;2621.45;42.0
8;1442.0;1993-09-20;1993-09-20;LMFF0;3394.89;42.0
9;266.0;1993-09-23;1993-09-23;HBCC1;949.59;16.0
10;6160.0;1993-09-23;1993-09-23;LMFF4;2655.0;35.0
11;10898.0;1993-09-27;1993-09-27;XSZZ1;1994.91;34.0
12;231.0;1993-09-28;1993-09-28;QPYG1;3516.44;38.0
13;1015.0;1993-09-28;1993-09-28;QPYG1;4372.55;29.0
14;11387.0;1993-09-28;1993-09-28;QSOP1;4720.32;28.0
15;11382.0;1993-09-30;1993-09-30;XDFF3;137.15;16.0
16;5961.0;1993-10-01;1993-10-01;BVAA2;2731.43;11.0
17;10954.0;1993-10-01;1993-10-01;LMFF2;3820.0;46.0
18;1358.0;1993-10-02;1993-10-02;JNDD4;4333.66;50.0
19;4740.0;1993-10-04;1993-10-04;XSZZ2;4730.46;31.0
20;6286.0;1993-10-05;1993-10-05;XDFF3;3130.71;43.0
21;9646.0;1993-10-05;1993-10-05;JNDD1;3047.79;43.0
22;5744.0;1993-10-06;1993-10-06;BVAA0;2577.48;15.0
23;6059.0;1993-10-07;1993-10-07;XSZZ3;2744.45;3.0
24;5790.0;1993-10-07;1993-10-07;JNDD2;1959.19;29.0
25;5502.0;1993-10-09;1993-10-09;HBCC3;3022.98;4.0
26;4665.0;1993-10-09;1993-10-09;HBCC3;2064.92;33.0
27;5826.0;1993-10-12;1993-10-12;JNDD4;2676.8;18.0
28;5405.0;1993-10-14;1993-10-14;HBCC4;600.73;4.0
29;6221.0;1993-10-14;1993-10-14;NVHH4;3172.52;19.0
30;11631.0;1993-10-16;1993-10-16;QPYG0;2853.75;33.0
31;5786.0;1993-10-17;1993-10-17;XSZZ4;3710.97;49.0
32;7084.0;1993-10-18;1993-10-18;HBCC2;889.15;24.0
33;1546.0;1993-10-19;1993-10-19;OKTT1;4092.12;40.0
34;5725.0;1993-10-19;1993-10-19;HBCC2;3548.75;3.0
35;5187.0;1993-10-19;1993-10-19;QSOP0;1439.72;5.0
36;6224.0;1993-10-19;1993-10-19;XSZZ2;3813.65;13.0
37;11765.0;1993-10-19;1993-10-19;WWAP3;4998.49;37.0
38;5881.0;1993-10-20;1993-10-20;NVHH0;1719.27;18.0
39;8489.0;1993-10-21;1993-10-21;BVAA0;2107.48;10.0
40;6339.0;1993-10-23;1993-10-23;BVAA0;3046.47;19.0
41;4584.0;1993-10-24;1993-10-24;BVAA1;2984.58;27.0
42;6474.0;1993-10-26;1993-10-26;WWAP2;949.19;20.0
43;7119.0;1993-10-26;1993-10-26;XDFF2;4442.97;32.0
44;5143.0;1993-10-26;1993-10-26;OKTT2;1658.67;21.0
45;5829.0;1993-10-27;1993-10-27;QSOP0;4187.53;35.0
46;5664.0;1993-10-28;1993-10-28;JNDD2;1693.49;13.0
47;4863.0;1993-10-28;1993-10-28;XDFF4;4768.13;9.0
48;9785.0;1993-10-31;1993-10-31;HBCC2;853.88;8.0
49;6237.0;1993-11-01;1993-11-01;QSOP2;3141.81;42.0
50;4640.0;1993-11-01;1993-11-01;HBCC1;3833.66;27.0
51;5912.0;1993-11-02;1993-11-02;XSZZ3;4400.33;1.0
52;5870.0;1993-11-03;1993-11-03;XDFF1;1186.35;39.0
53;6082.0;1993-11-03;1993-11-03;HBCC0;4755.11;27.0
54;740.0;1993-11-04;1993-11-04;QSOP3;3098.81;26.0
55;6448.0;1993-11-05;1993-11-05;XSZZ4;3277.82;26.0
56;5009.0;1993-11-06;1993-11-06;LMFF1;4580.25;43.0
57;4867.0;1993-11-06;1993-11-06;WDFE3;181.28;27.0
58;49.0;1993-11-07;1993-11-07;WDFE4;4626.38;6.0
59;6123.0;1993-11-08;1993-11-08;QAFD2;1014.79;6.0
60;9335.0;1993-11-08;1993-11-08;NVHH2;3649.93;49.0
61;10690.0;1993-11-08;1993-11-08;LMFF1;1829.26;27.0
62;11611.0;1993-11-08;1993-11-08;HBCC0;3620.73;3.0
63;6341.0;1993-11-09;1993-11-09;JNDD0;2968.27;48.0
64;7144.0;1993-11-10;1993-11-10;JNDD4;1425.89;31.0
65;7329.0;1993-11-10;1993-11-10;HBCC4;1382.04;15.0
66;6393.0;1993-11-16;1993-11-16;JNDD3;3355.79;18.0
67;5612.0;1993-11-17;1993-11-17;XDFF1;3744.41;28.0
68;892.0;1993-11-20;1993-11-20;OKTT1;3121.82;13.0
69;11417.0;1993-11-20;1993-11-20;WDFE0;2593.21;40.0
70;9150.0;1993-11-22;1993-11-22;LMFF1;4420.88;27.0
71;10404.0;1993-11-23;1993-11-23;WWAP0;4467.93;19.0
72;10874.0;1993-11-25;1993-11-25;XSZZ1;777.45;32.0
73;2830.0;1993-11-26;1993-11-26;XDFF1;4573.54;48.0
74;11286.0;1993-11-26;1993-11-26;XDFF2;2362.03;39.0
75;5948.0;1993-11-27;1993-11-27;QSOP0;2465.42;1.0
76;6206.0;1993-11-28;1993-11-28;HBCC3;1325.98;21.0
77;5951.0;1993-11-29;1993-11-29;QAFD0;1217.64;2.0
78;8663.0;1993-11-29;1993-11-29;BVAA4;2480.66;19.0
79;6463.0;1993-11-29;1993-11-29;NVHH4;2215.23;28.0
80;7200.0;1993-11-30;1993-11-30;WDFE1;329.03;27.0
81;266.0;1993-12-01;1993-12-01;QPYG3;1081.73;20.0
82;6024.0;1993-12-01;1993-12-01;QSOP4;894.63;40.0
83;6381.0;1993-12-01;1993-12-01;HBCC4;1877.71;4.0
84;5537.0;1993-12-01;1993-12-01;JNDD4;4100.21;48.0
85;11846.0;1993-12-01;1993-12-01;XDFF2;3737.72;39.0
86;10337.0;1993-12-03;1993-12-03;QAFD0;4702.89;8.0
87;963.0;1993-12-04;1993-12-04;QSOP1;5.26;49.0
88;6042.0;1993-12-05;1993-12-05;QPYG2;4678.76;40.0
89;4492.0;1993-12-05;1993-12-05;NVHH2;1474.23;10.0
90;8729.0;1993-12-05;1993-12-05;QPYG4;2842.88;7.0
91;6230.0;1993-12-07;1993-12-07;XDFF0;2600.41;42.0
92;5655.0;1993-12-07;1993-12-07;QPYG3;4735.59;21.0
93;2721.0;1993-12-09;1993-12-09;QSOP2;1766.14;38.0
94;4772.0;1993-12-09;1993-12-09;OKTT3;2332.91;18.0
95;6224.0;1993-12-10;1993-12-10;JNDD0;4566.65;37.0
96;10437.0;1993-12-10;1993-12-10;HBCC3;1851.38;39.0
97;11463.0;1993-12-10;1993-12-10;QSOP4;2167.66;45.0
98;4138.0;1993-12-12;1993-12-12;XDFF2;1649.65;38.0
99;5517.0;1993-12-13;1993-12-13;WDFE0;3004.24;41.0
100;2891.0;1993-12-14;1993-12-14;QPYG2;3459.66;49.0
101;5820.0;1993-12-14;1993-12-14;JNDD0;3135.62;9.0
102;10181.0;1993-12-14;1993-12-14;NVHH4;3504.94;23.0
103;4640.0;1993-12-15;1993-12-15;QPYG1;825.73;27.0
104;5795.0;1993-12-15;1993-12-15;QSOP3;1776.68;3.0
105;5492.0;1993-12-15;1993-12-15;WDFE1;2175.31;14.0
106;11816.0;1993-12-16;1993-12-16;XDFF1;3686.26;34.0
107;1446.0;1993-12-17;1993-12-17;XSZZ3;4515.45;31.0
108;6315.0;1993-12-17;1993-12-17;QSOP0;4683.56;22.0
109;4267.0;1993-12-17;1993-12-17;JNDD0;1946.7;32.0
110;9834.0;1993-12-17;1993-12-17;WDFE0;4336.82;47.0
111;2684.0;1993-12-19;1993-12-19;OKTT4;4737.15;49.0
112;5959.0;1993-12-20;1993-12-20;WWAP2;596.1;40.0
113;5972.0;1993-12-21;1993-12-21;NVHH0;2132.76;12.0
114;4748.0;1993-12-21;1993-12-21;QAFD4;4449.32;24.0
115;6428.0;1993-12-23;1993-12-23;QSOP3;453.05;31.0
116;8767.0;1993-12-23;1993-12-23;OKTT1;919.26;3.0
117;11881.0;1993-12-24;1993-12-24;QPYG1;3700.12;46.0
118;5809.0;1993-12-25;1993-12-25;LMFF3;3384.62;39.0
119;6521.0;1993-12-25;1993-12-25;OKTT4;2774.46;29.0
120;11112.0;1993-12-25;1993-12-25;XSZZ2;4188.91;8.0
121;4772.0;1993-12-26;1993-12-26;WWAP3;4228.79;36.0
122;10320.0;1993-12-26;1993-12-26;OKTT0;2688.17;1.0
123;9414.0;1993-12-27;1993-12-27;NVHH3;2688.9;46.0
124;6480.0;1993-12-28;1993-12-28;WDFE2;3177.98;29.0
125;11634.0;1993-12-28;1993-12-28;WDFE1;1541.91;48.0
126;5441.0;1993-12-29;1993-12-29;HBCC4;3819.72;41.0
127;5630.0;1993-12-29;1993-12-29;XSZZ4;2684.15;15.0
